Instrument Serial Num,Reading #,Date,Time,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude, Units,Mg Compound,Mg Compound Level,Mg Compound Error,Mg Concentration,Mg Error1s,Al Compound,Al Compound Level,Al Compound Error,Al Concentration,Al Error1s,Si Compound,Si Compound Level,Si Compound Error,Si Concentration,Si Error1s,P Compound,P Compound Level,P Compound Error,P Concentration,P Error1s,S Compound,S Compound Level,S Compound Error,S Concentration,S Error1s,K Compound,K Compound Level,K Compound Error,K Concentration,K Error1s,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error1s,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error1s,V Compound,V Compound Level,V Compound Error,V Concentration,V Error1s,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error1s,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error1s,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error1s,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error1s,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error1s,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error1s,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error1s,As Compound,As Compound Level,As Compound Error,As Concentration,As Error1s,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error1s,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error1s,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error1s,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error1s,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error1s,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error1s,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error1s,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error1s,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error1s,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error1s,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error1s,W Compound,W Compound Level,W Compound Error,W Concentration,W Error1s,Au Compound,Au Compound Level,Au Compound Error,Au Concentration,Au Error1s,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error1s,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error1s,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error1s,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error1s,U Compound,U Compound Level,U Compound Error,U Concentration,U Error1s,LE Compound,LE Compound Level,LE Compound Error,LE Concentration,LE Error1s,Notes,Operator,Project No.,Sample ID,Sample Type,info,Source
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801203,101,9/7/2018,15:39:03,geoChem-Extra,,101,No,,,PPM,,,,0,3713,,,,78616,670,,,,334616,853,,,,0,85,,,,0,63,,,,31008,100,,,,15088,60,,,,2884,89,,,,133,11,,,,0,42,,,,401,15,,,,17472,75,,,,0,90,,,,18,3,,,,42,3,,,,57,2,,,,0,11,,,,0,6,,,,121,1,,,,415,2,,,,9,1,,,,186,2,,,,12,1,,,,8,1,,,,0,260,,,,0,311,,,,0,535,,,,0,684,,,,0,91,,,,0,39,,,,0,49,,,,18,1,,,,0,143,,,,14,3,,,,0,81,,,,518882,1131,,,,,,geol-astoneac,Arrowstone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801203,102,9/7/2018,15:41:25,geoChem-Extra,,102,No,,,PPM,,,,0,4014,,,,77025,683,,,,328584,867,,,,0,90,,,,0,66,,,,30822,102,,,,15180,62,,,,2782,90,,,,135,11,,,,0,44,,,,405,15,,,,17416,76,,,,0,92,,,,17,3,,,,46,3,,,,59,2,,,,0,11,,,,0,6,,,,121,1,,,,418,2,,,,9,1,,,,189,2,,,,11,1,,,,8,1,,,,0,266,,,,0,320,,,,0,547,,,,0,699,,,,0,94,,,,0,40,,,,0,49,,,,18,1,,,,0,147,,,,17,3,,,,0,83,,,,526735,1155,,,,,,geol-astoneac,Arrowstone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801203,103,9/7/2018,15:43:18,geoChem-Extra,,103,No,,,PPM,,,,0,4200,,,,76216,694,,,,323969,879,,,,0,94,,,,0,69,,,,30378,103,,,,15281,63,,,,2688,90,,,,147,12,,,,0,46,,,,395,16,,,,17317,77,,,,0,93,,,,12,3,,,,34,3,,,,58,2,,,,0,11,,,,0,6,,,,120,1,,,,424,2,,,,9,1,,,,186,2,,,,11,1,,,,10,1,,,,0,270,,,,0,324,,,,0,556,,,,0,712,,,,0,95,,,,0,38,,,,0,49,,,,17,1,,,,0,149,,,,16,3,,,,0,85,,,,532713,1174,,,,,,geol-astoneac,Arrowstone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801203,107,9/7/2018,15:57:03,geoChem-Extra,,107,No,,,PPM,,,,0,4524,,,,82253,717,,,,309902,893,,,,0,106,,,,0,73,,,,12562,64,,,,29924,98,,,,2992,95,,,,84,11,,,,0,47,,,,574,18,,,,26634,106,,,,0,119,,,,51,4,,,,37,3,,,,58,2,,,,0,10,,,,0,5,,,,25,1,,,,717,3,,,,14,1,,,,129,2,,,,6,1,,,,6,1,,,,0,273,,,,0,327,,,,0,560,,,,0,718,,,,0,97,,,,0,40,,,,0,52,,,,9,1,,,,0,151,,,,15,3,,,,0,87,,,,534008,1234,,,,,,geol-watts,Watts
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801203,108,9/7/2018,16:00:39,geoChem-Extra,,108,No,,,PPM,,,,0,4151,,,,79535,663,,,,302249,833,,,,0,99,,,,0,68,,,,11815,57,,,,31397,96,,,,3262,92,,,,90,11,,,,82,14,,,,699,18,,,,31258,112,,,,0,120,,,,60,4,,,,38,3,,,,66,2,,,,0,10,,,,0,5,,,,25,1,,,,751,3,,,,16,1,,,,131,2,,,,6,1,,,,4,1,,,,0,251,,,,0,301,,,,0,516,,,,0,663,,,,0,89,,,,0,36,,,,0,48,,,,8,1,,,,0,139,,,,0,155,,,,0,82,,,,538508,1166,,,,,,geol-watts,Watts
