Instrument Serial Num,Reading #,Date,Time,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude,Units,Mg Compound,Mg Compound Level,Mg Compound Error,Mg Concentration,Mg Error1s,Al Compound,Al Compound Level,Al Compound Error,Al Concentration,Al Error1s,Si Compound,Si Compound Level,Si Compound Error,Si Concentration,Si Error1s,P Compound,P Compound Level,P Compound Error,P Concentration,P Error1s,S Compound,S Compound Level,S Compound Error,S Concentration,S Error1s,K Compound,K Compound Level,K Compound Error,K Concentration,K Error1s,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error1s,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error1s,V Compound,V Compound Level,V Compound Error,V Concentration,V Error1s,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error1s,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error1s,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error1s,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error1s,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error1s,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error1s,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error1s,As Compound,As Compound Level,As Compound Error,As Concentration,As Error1s,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error1s,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error1s,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error1s,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error1s,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error1s,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error1s,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error1s,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error1s,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error1s,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error1s,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error1s,Te Compound,Te Compound Level,Te Compound Error,Te Concentration,Te Error1s,W Compound,W Compound Level,W Compound Error,W Concentration,W Error1s,Au Compound,Au Compound Level,Au Compound Error,Au Concentration,Au Error1s,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error1s,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error1s,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error1s,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error1s,U Compound,U Compound Level,U Compound Error,U Concentration,U Error1s,LE Compound,LE Compound Level,LE Compound Error,LE Concentration,LE Error1s,Notes,Operator,Project No.,Sample ID,Sample Type,Real Time 1,Real Time 2
801054,7,2018-11-24,21:01:06,Geochem(2),,7,No,,,PPM,,,,0,7040,,,,63634,926,,,,251787,1033,,,,497,75,,,,777,45,,,,21723,107,,,,21188,98,,,,3612,112,,,,72,12,,,,0,53,,,,689,22,,,,27083,133,,,,0,126,,,,55,5,,,,149,5,,,,453,7,,,,70,8,,,,0,9,,,,121,2,,,,237,2,,,,40,2,,,,300,3,,,,23,1,,,,0,56,,,,0,312,,,,53,8,,,,0,612,,,,53,14,,,,54,10,,,,0,160,,,,0,71,,,,11,3,,,,1499,11,,,,0,154,,,,16,4,,,,0,94,,,,605804,1500,blank,NHW,blank,1,blank,30,30
801054,8,2018-11-24,21:02:55,Geochem(2),,8,No,,,PPM,,,,0,7031,,,,62926,923,,,,252012,1037,,,,392,75,,,,817,46,,,,22451,110,,,,21911,101,,,,3428,110,,,,116,13,,,,0,54,,,,705,23,,,,28182,138,,,,0,129,,,,49,5,,,,164,6,,,,456,7,,,,93,8,,,,3,1,,,,122,2,,,,238,2,,,,39,2,,,,308,3,,,,24,1,,,,0,56,,,,0,312,,,,50,8,,,,0,615,,,,0,834,,,,74,10,,,,0,166,,,,0,72,,,,18,3,,,,1532,11,,,,0,155,,,,15,4,,,,0,93,,,,603874,1511,blank,NHW,blank,1,blank,30,30
801054,9,2018-11-24,21:09:38,Geochem(2),,9,No,,,PPM,,,,0,4739,,,,87480,899,,,,313433,1033,,,,1093,78,,,,647,42,,,,18885,89,,,,25648,101,,,,5152,123,,,,165,14,,,,76,17,,,,304,17,,,,30843,131,,,,0,130,,,,58,5,,,,76,4,,,,103,3,,,,32,3,,,,0,6,,,,44,1,,,,869,4,,,,9,1,,,,162,2,,,,5,1,,,,0,52,,,,0,306,,,,0,371,,,,0,613,,,,0,831,,,,150,9,,,,0,108,,,,0,45,,,,0,56,,,,149,3,,,,0,143,,,,13,4,,,,0,101,,,,514605,1438,Princeton river,NHW,Princeton river,1,Geo,30,30
801054,10,2018-11-24,21:12:47,Geochem(2),,10,No,,,PPM,,,,0,5703,,,,76006,912,,,,282355,1036,,,,1277,81,,,,0,92,,,,18731,93,,,,27352,112,,,,5051,126,,,,183,14,,,,64,17,,,,841,24,,,,26291,124,,,,0,124,,,,62,5,,,,71,4,,,,85,3,,,,0,13,,,,0,7,,,,46,1,,,,876,5,,,,8,1,,,,161,2,,,,6,1,,,,0,55,,,,0,321,,,,0,390,,,,0,644,,,,0,875,,,,164,10,,,,0,105,,,,0,42,,,,7,2,,,,16,2,,,,0,149,,,,13,4,,,,0,104,,,,560334,1474,Princeton river,NHW,Princeton river,1,Geo,30,30
801054,11,2018-11-24,21:17:27,Geochem(2),,11,No,,,PPM,,,,0,5082,,,,84016,898,,,,309927,1049,,,,1125,79,,,,490,42,,,,18527,90,,,,25273,102,,,,4983,123,,,,166,14,,,,74,17,,,,314,17,,,,33067,141,,,,0,136,,,,69,5,,,,78,4,,,,105,4,,,,35,3,,,,0,7,,,,42,1,,,,851,4,,,,11,1,,,,159,2,,,,7,1,,,,0,52,,,,0,309,,,,0,376,,,,0,623,,,,0,842,,,,161,10,,,,0,112,,,,0,46,,,,0,58,,,,198,4,,,,0,144,,,,0,193,,,,0,100,,,,520324,1466,Princeton river,NHW,Princeton river,1,Geo,30,30
801054,12,2018-11-24,21:20:39,Geochem(2),,12,No,,,PPM,,,,0,4524,,,,68210,844,,,,361242,1100,,,,0,93,,,,0,73,,,,31541,124,,,,6396,57,,,,1773,91,,,,120,12,,,,0,47,,,,384,17,,,,11057,67,,,,0,78,,,,24,4,,,,12,3,,,,37,2,,,,0,13,,,,0,7,,,,88,1,,,,106,1,,,,25,1,,,,138,2,,,,11,1,,,,0,55,,,,0,329,,,,0,398,,,,0,656,,,,0,889,,,,145,9,,,,0,104,,,,0,43,,,,0,58,,,,21,2,,,,0,139,,,,11,4,,,,0,86,,,,518659,1367,Glass Butte,NHW,Glass Butte,1,Geo,30,30
801054,13,2018-11-24,21:22:01,Geochem(2),,13,No,,,PPM,,,,0,4876,,,,68185,866,,,,352214,1117,,,,0,102,,,,0,79,,,,31214,127,,,,6526,58,,,,1902,94,,,,99,12,,,,0,47,,,,417,18,,,,10918,68,,,,0,79,,,,36,5,,,,0,18,,,,31,2,,,,0,13,,,,0,7,,,,84,1,,,,108,1,,,,26,1,,,,140,2,,,,13,1,,,,7,2,,,,0,337,,,,0,409,,,,0,673,,,,0,910,,,,154,9,,,,0,109,,,,0,44,,,,0,59,,,,19,2,,,,0,144,,,,15,4,,,,0,90,,,,527891,1400,Glass Butte,NHW,Glass Butte,1,Geo,30,30
801054,14,2018-11-24,21:23:34,Geochem(2),,14,No,,,PPM,,,,0,4010,,,,73310,819,,,,380507,1073,,,,0,84,,,,0,65,,,,31883,119,,,,6169,56,,,,1775,88,,,,129,12,,,,64,16,,,,406,17,,,,10821,64,,,,0,75,,,,15,4,,,,0,17,,,,36,2,,,,0,12,,,,0,6,,,,83,1,,,,107,1,,,,27,1,,,,140,2,,,,9,1,,,,0,54,,,,0,320,,,,0,387,,,,0,636,,,,0,865,,,,135,9,,,,0,98,,,,0,41,,,,8,2,,,,18,2,,,,0,134,,,,0,180,,,,0,84,,,,494359,1318,Glass Butte,NHW,Glass Butte,1,Geo,30,30
801054,15,2018-11-24,21:25:51,Geochem(2),,15,No,,,PPM,,,,0,4307,,,,94383,862,,,,342598,1025,,,,0,101,,,,0,67,,,,12909,71,,,,31386,111,,,,3287,104,,,,102,12,,,,0,50,,,,584,20,,,,27991,117,,,,0,121,,,,62,5,,,,29,3,,,,62,3,,,,0,11,,,,0,6,,,,25,1,,,,750,4,,,,15,1,,,,131,2,,,,6,1,,,,0,51,,,,0,304,,,,0,370,,,,0,610,,,,0,826,,,,131,9,,,,0,103,,,,0,42,,,,0,57,,,,8,1,,,,0,137,,,,0,188,,,,0,94,,,,485542,1378,geo-bvr,NHW,geo-bvr,1,Geo,30,30
801054,16,2018-11-24,21:27:34,Geochem(2),,16,No,,,PPM,,,,0,8053,,,,70110,1039,,,,269362,1204,,,,0,178,,,,0,129,,,,12155,88,,,,30698,145,,,,2870,122,,,,110,15,,,,0,60,,,,557,24,,,,25919,146,,,,0,144,,,,73,6,,,,27,4,,,,59,3,,,,0,13,,,,0,8,,,,23,1,,,,744,5,,,,15,1,,,,134,2,,,,11,2,,,,15,2,,,,0,386,,,,0,470,,,,0,773,,,,0,1049,,,,235,12,,,,0,131,,,,0,53,,,,0,71,,,,8,2,,,,0,175,,,,23,5,,,,0,119,,,,586852,1713,geo-bvr,NHW,geo-bvr,1,Geo,30,30
