ID,Instrument Serial Num,Reading .,Date,Time,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude,Units,Mg Compound,Mg Compound Level,Mg Compound Error,Mg Concentration,Mg Error1s,Al Compound,Al Compound Level,Al Compound Error,Al Concentration,Al Error1s,Si Compound,Si Compound Level,Si Compound Error,Si Concentration,Si Error1s,P Compound,P Compound Level,P Compound Error,P Concentration,P Error1s,S Compound,S Compound Level,S Compound Error,S Concentration,S Error1s,K Compound,K Compound Level,K Compound Error,K Concentration,K Error1s,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error1s,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error1s,V Compound,V Compound Level,V Compound Error,V Concentration,V Error1s,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error1s,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error1s,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error1s,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error1s,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error1s,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error1s,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error1s,As Compound,As Compound Level,As Compound Error,As Concentration,As Error1s,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error1s,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error1s,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error1s,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error1s,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error1s,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error1s,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error1s,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error1s,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error1s,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error1s,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error1s,W Compound,W Compound Level,W Compound Error,W Concentration,W Error1s,Au Compound,Au Compound Level,Au Compound Error,Au Concentration,Au Error1s,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error1s,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error1s,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error1s,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error1s,U Compound,U Compound Level,U Compound Error,U Concentration,U Error1s,LE Compound,LE Compound Level,LE Compound Error,LE Concentration,LE Error1s,Notes,Operator,Project No,Sample ID,Sample Type
369,800888,1,2019-10-07,12:11:27,geoChem-Extra-CoFix,,1,No,,,PPM,,,,0,9799,,,,45945,720,,,,171057,651,,,,0,213,,,,0,163,,,,20260,84,,,,4919,35,,,,1411,68,,,,159,10,,,,0,18,,,,1015,20,,,,8708,49,,,,0,19,,,,26,3,,,,7,2,,,,39,2,,,,6,1,,,,0,1,,,,371,2,,,,492,3,,,,27,1,,,,57,1,,,,20,1,,,,21,1,,,,0,9,,,,0,11,,,,0,16,,,,0,20,,,,0,9,,,,0,37,,,,0,4,,,,9,1,,,,0,7,,,,39,3,,,,6,2,,,,745405,988,Twin Lakes obsd,nhw,geo,geo01,Chip
369,800888,2,2019-10-07,12:16:02,geoChem-Extra-CoFix,,2,No,,,PPM,,,,0,3465,,,,66169,611,,,,293418,732,,,,0,76,,,,0,60,,,,26269,81,,,,7103,36,,,,1646,65,,,,192,10,,,,0,16,,,,881,17,,,,4721,31,,,,0,13,,,,0,4,,,,0,3,,,,40,2,,,,5,1,,,,0,1,,,,308,2,,,,685,3,,,,23,1,,,,77,1,,,,9,1,,,,0,2,,,,0,8,,,,0,9,,,,0,14,,,,0,18,,,,0,8,,,,0,32,,,,0,4,,,,8,1,,,,0,6,,,,10,3,,,,0,4,,,,598436,958,Twin Lakes obsd,nhw,geo,geo01,Chip
369,800888,3,2019-10-07,12:23:42,geoChem-Extra-CoFix,,3,No,,,PPM,,,,0,4808,,,,53105,655,,,,267831,788,,,,0,102,,,,0,84,,,,26703,94,,,,8013,42,,,,1575,71,,,,201,11,,,,0,18,,,,861,19,,,,3649,30,,,,0,13,,,,14,3,,,,0,3,,,,34,2,,,,0,2,,,,0,1,,,,325,2,,,,612,3,,,,34,1,,,,51,1,,,,15,1,,,,10,1,,,,0,9,,,,0,10,,,,0,16,,,,0,20,,,,0,9,,,,0,38,,,,0,4,,,,11,1,,,,0,7,,,,29,3,,,,6,2,,,,636922,1039,Twin Lakes obsd,nhw,geo,geo01,Chip
369,800888,4,2019-10-07,12:26:28,geoChem-Extra-CoFix,,4,No,,,PPM,,,,0,15498,,,,25166,923,,,,172995,912,,,,0,300,,,,0,255,,,,26073,142,,,,4537,49,,,,1526,98,,,,148,15,,,,0,25,,,,1599,34,,,,4325,46,,,,0,20,,,,24,5,,,,0,5,,,,43,3,,,,0,2,,,,0,1,,,,343,3,,,,378,3,,,,24,1,,,,52,2,,,,19,1,,,,24,2,,,,0,13,,,,0,15,,,,0,23,,,,0,29,,,,0,12,,,,0,52,,,,0,6,,,,9,2,,,,0,9,,,,39,4,,,,0,5,,,,762676,1312,Twin Lakes obsd,nhw,geo,geo02,Chip
369,800888,5,2019-10-07,12:28:53,geoChem-Extra-CoFix,,5,No,,,PPM,,,,0,4588,,,,45493,566,,,,209440,614,,,,1779,51,,,,1402,30,,,,25881,82,,,,10659,41,,,,1769,64,,,,195,10,,,,0,16,,,,817,16,,,,5359,32,,,,0,14,,,,0,4,,,,11,2,,,,55,2,,,,4,1,,,,0,1,,,,240,2,,,,916,3,,,,23,1,,,,70,1,,,,9,1,,,,0,2,,,,0,8,,,,0,9,,,,0,13,,,,0,17,,,,0,7,,,,0,33,,,,0,3,,,,19,1,,,,0,6,,,,14,3,,,,5,1,,,,695840,871,Twin Lakes obsd,nhw,geo,geo02,Chip
369,800888,6,2019-10-07,12:31:28,geoChem-Extra-CoFix,,6,No,,,PPM,,,,0,3706,,,,0,636,,,,398213,910,,,,0,79,,,,0,64,,,,0,106,,,,0,80,,,,497,57,,,,34,9,,,,0,16,,,,50,9,,,,1976,20,,,,0,9,,,,0,4,,,,12,2,,,,7,1,,,,0,1,,,,0,1,,,,4,0,,,,5,0,,,,4,1,,,,8,1,,,,4,1,,,,9,1,,,,0,9,,,,0,10,,,,0,15,,,,0,19,,,,0,8,,,,0,34,,,,0,3,,,,0,2,,,,0,6,,,,13,2,,,,0,3,,,,599163,915,Twin Lakes dark,nhw,geo,geo03,Chip
369,800888,7,2019-10-07,12:33:55,geoChem-Extra-CoFix,,7,No,,,PPM,,,,0,2736,,,,3018,293,,,,416147,805,,,,0,62,,,,896,29,,,,0,83,,,,0,69,,,,670,52,,,,40,7,,,,0,13,,,,27,7,,,,559,10,,,,0,5,,,,0,4,,,,0,3,,,,4,1,,,,0,1,,,,0,1,,,,5,0,,,,6,0,,,,2,0,,,,2,1,,,,0,1,,,,0,2,,,,0,8,,,,0,9,,,,0,13,,,,0,16,,,,0,7,,,,0,29,,,,0,3,,,,3,1,,,,0,5,,,,0,4,,,,0,2,,,,578620,820,Twin Lakes dark,nhw,geo,geo03,Chip
369,800888,8,2019-10-07,12:38:06,geoChem-Extra-CoFix,,8,No,,,PPM,,,,0,3765,,,,72704,625,,,,278524,750,,,,0,92,,,,0,66,,,,14209,58,,,,25803,75,,,,3405,83,,,,83,10,,,,0,18,,,,611,16,,,,25583,90,,,,190,20,,,,35,3,,,,34,3,,,,65,2,,,,0,1,,,,0,1,,,,26,1,,,,784,3,,,,15,1,,,,143,2,,,,6,1,,,,5,1,,,,0,8,,,,0,10,,,,0,14,,,,0,18,,,,0,8,,,,0,34,,,,0,4,,,,10,1,,,,0,6,,,,21,3,,,,0,3,,,,577743,1055,Gambier,nhw,geo,geo04,Chip
369,800888,9,2019-10-07,12:41:04,geoChem-Extra-CoFix,,9,No,,,PPM,,,,0,6487,,,,59254,751,,,,232138,850,,,,0,147,,,,0,113,,,,16796,81,,,,21571,84,,,,3145,96,,,,87,12,,,,0,22,,,,515,18,,,,24076,108,,,,165,23,,,,40,4,,,,36,3,,,,55,2,,,,4,1,,,,0,1,,,,28,1,,,,684,4,,,,13,1,,,,140,2,,,,8,1,,,,15,1,,,,0,10,,,,0,12,,,,0,18,,,,0,22,,,,0,10,,,,0,41,,,,0,4,,,,8,1,,,,0,8,,,,36,4,,,,0,4,,,,641185,1242,Gambier,nhw,geo,geo04,Chip
369,800888,10,2019-10-07,12:43:24,geoChem-Extra-CoFix,,10,No,,,PPM,,,,0,3353,,,,76858,597,,,,295406,733,,,,0,82,,,,0,59,,,,14349,56,,,,23919,67,,,,3256,78,,,,94,9,,,,64,12,,,,630,16,,,,27681,90,,,,218,20,,,,55,3,,,,28,2,,,,61,2,,,,0,1,,,,0,1,,,,25,1,,,,742,3,,,,14,1,,,,141,1,,,,5,1,,,,0,2,,,,0,8,,,,0,9,,,,0,13,,,,0,17,,,,0,8,,,,0,32,,,,0,4,,,,9,1,,,,0,6,,,,16,3,,,,0,3,,,,556429,1018,Gambier,nhw,geo,geo04,Chip
369,800888,11,2019-10-07,12:48:10,geoChem-Extra-CoFix,,11,No,,,PPM,,,,0,3189,,,,87322,651,,,,297547,743,,,,1448,55,,,,0,55,,,,36019,103,,,,23577,70,,,,5388,98,,,,157,11,,,,48,13,,,,548,16,,,,29093,97,,,,161,22,,,,16,3,,,,31,3,,,,82,2,,,,0,1,,,,0,1,,,,97,1,,,,591,3,,,,16,1,,,,266,2,,,,15,1,,,,0,2,,,,0,8,,,,0,9,,,,0,14,,,,0,18,,,,0,8,,,,0,35,,,,0,4,,,,12,1,,,,0,6,,,,11,3,,,,0,3,,,,517554,1082,Tranquille R,nhw,geo,geo05,Chip
369,800888,12,2019-10-07,12:50:48,geoChem-Extra-CoFix,,12,No,,,PPM,,,,7807,2347,,,,74142,647,,,,248482,900,,,,1540,53,,,,0,62,,,,26184,103,,,,26348,98,,,,5755,97,,,,159,11,,,,37,12,,,,688,16,,,,35466,141,,,,120,23,,,,20,3,,,,33,3,,,,83,2,,,,3,1,,,,0,1,,,,102,1,,,,647,3,,,,18,1,,,,283,2,,,,21,1,,,,0,2,,,,0,8,,,,0,9,,,,0,13,,,,0,17,,,,0,8,,,,0,33,,,,0,4,,,,15,1,,,,0,6,,,,17,3,,,,0,3,,,,572030,1717,TranquilleR ctx,nhw,geo,geo05,Chip
369,800888,13,2019-10-07,12:55:55,geoChem-Extra-CoFix,,13,No,,,PPM,,,,0,3364,,,,31619,503,,,,346826,817,,,,0,74,,,,0,57,,,,34909,101,,,,0,103,,,,1043,62,,,,27,8,,,,0,15,,,,84,9,,,,3254,26,,,,0,12,,,,15,3,,,,9,2,,,,19,1,,,,0,1,,,,0,1,,,,125,1,,,,23,1,,,,39,1,,,,273,2,,,,17,1,,,,9,1,,,,0,9,,,,0,10,,,,0,15,,,,0,19,,,,0,8,,,,0,35,,,,5,1,,,,12,1,,,,0,6,,,,15,2,,,,6,1,,,,581672,962,Duck Mdw 1,nhw,geo,geo06,Chip
