Instrument Serial Num,Reading #,Date,Time,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude, Units,Mg Compound,Mg Compound Level,Mg Compound Error,Mg Concentration,Mg Error1s,Al Compound,Al Compound Level,Al Compound Error,Al Concentration,Al Error1s,Si Compound,Si Compound Level,Si Compound Error,Si Concentration,Si Error1s,P Compound,P Compound Level,P Compound Error,P Concentration,P Error1s,S Compound,S Compound Level,S Compound Error,S Concentration,S Error1s,K Compound,K Compound Level,K Compound Error,K Concentration,K Error1s,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error1s,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error1s,V Compound,V Compound Level,V Compound Error,V Concentration,V Error1s,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error1s,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error1s,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error1s,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error1s,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error1s,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error1s,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error1s,As Compound,As Compound Level,As Compound Error,As Concentration,As Error1s,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error1s,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error1s,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error1s,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error1s,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error1s,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error1s,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error1s,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error1s,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error1s,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error1s,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error1s,W Compound,W Compound Level,W Compound Error,W Concentration,W Error1s,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error1s,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error1s,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error1s,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error1s,U Compound,U Compound Level,U Compound Error,U Concentration,U Error1s,LE Compound,LE Compound Level,LE Compound Error,LE Concentration,LE Error1s,Notes,Operator,Project No.,Sample ID,Sample Type,Real Time 1,Real Time 2,Source,info
801021,24,2018-11-14,22:32:30,Geochem(2),,24,No,,,PPM,,,,0,3028,,,,100781,616,,,,308490,697,,,,168,39,,,,920,29,,,,17879,60,,,,27986,73,TiO2,7395.31,138.31,4433,83,,,,113,9,,,,64,12,,,,496,13,,,,29501,88,,,,0,98,,,,29,3,,,,96,3,,,,84,2,,,,3,1,,,,0,5,,,,58,1,,,,607,2,,,,10,1,,,,167,1,,,,13,1,,,,0,38,,,,0,216,,,,0,261,,,,0,429,,,,0,571,,,,11,3,,,,0,40,,,,11,1,,,,0,96,,,,0,131,,,,0,65,,,,508081,988,formal tool,NHW,18-1135-016,2,formal tool,60,60,Texaco,Texaco-2
801021,23,2018-11-14,22:29:41,Geochem(2),,23,No,,,PPM,,,,0,1900,,,,110555,555,,,,414985,654,,,,222,33,,,,995,25,,,,33001,74,,,,14937,46,TiO2,4556.13,107.767,2731,65,,,,141,8,,,,0,31,,,,434,12,,,,18846,56,,,,0,71,,,,15,2,,,,56,2,,,,62,2,,,,3,1,,,,0,4,,,,130,1,,,,443,2,,,,6,1,,,,186,1,,,,11,1,,,,0,35,,,,0,196,,,,0,233,,,,0,376,,,,0,497,,,,8,2,,,,0,36,,,,15,1,,,,10,2,,,,0,118,,,,0,60,,,,402206,814,formal tool,NHW,18-1135-016,16,formal tool,60,60,Texaco,Texaco-16
801021,22,2018-11-14,22:24:38,Geochem(2),,22,No,,,PPM,,,,0,2061,,,,102899,550,,,,394029,655,,,,189,32,,,,1064,25,,,,32983,75,,,,13959,44,TiO2,5004.97,110.12,3000,66,,,,136,8,,,,72,11,,,,475,12,,,,19671,58,,,,0,72,,,,20,2,,,,59,2,,,,69,2,,,,0,8,,,,0,4,,,,130,1,,,,443,2,,,,7,1,,,,184,1,,,,11,1,,,,0,35,,,,0,196,,,,0,234,,,,0,379,,,,0,502,,,,0,48,,,,0,35,,,,18,1,,,,8,2,,,,0,117,,,,0,60,,,,430574,832,formal tool,NHW,18-1135-016,31,formal tool,60,60,Texaco,Texaco-31
801021,3,2018-11-14,10:41:11,Geochem(2),,3,No,,,PPM,,,,0,2251,,,,0,468,,,,477971,796,,,,0,35,,,,594,29,,,,0,56,,,,0,50,TiO2,0,91.1296,0,55,,,,0,14,,,,0,26,,,,0,148,,,,317,8,,,,0,13,,,,8,2,,,,16,2,,,,3,1,,,,0,6,,,,0,4,,,,0,6,,,,0,8,,,,0,12,,,,0,18,,,,4,1,,,,0,35,,,,0,212,,,,0,254,,,,0,419,,,,0,557,,,,0,47,,,,0,34,,,,0,26,,,,0,83,,,,0,115,,,,0,47,,,,521087,797,test: rhyolite,NHW,0,blank,test: rhyolite,60,60,Other,test-blank
801021,2,2018-11-14,10:37:29,Geochem(2),,2,No,,,PPM,,,,0,5310,,,,52719,706,,,,270653,804,,,,0,95,,,,1038,39,,,,27653,96,,,,6986,41,TiO2,2478.25,114.064,1485,68,,,,166,10,,,,0,39,,,,1202,21,,,,5653,37,,,,0,48,,,,17,3,,,,28,2,,,,38,2,,,,3,1,,,,0,6,,,,324,2,,,,592,3,,,,28,1,,,,47,1,,,,23,1,,,,14,1,,,,0,262,,,,0,317,,,,0,524,,,,0,696,,,,9,3,,,,0,45,,,,12,1,,,,0,117,,,,18,3,,,,0,88,,,,631291,1067,test: obsidian,NHW,0,obsidian,test: obsidian,60,60,Other,test-obsidian
801021,1,2018-11-14,10:34:20,Geochem(2),,1,No,,,PPM,,,,0,4772,,,,61942,718,,,,277461,783,,,,0,77,,,,826,36,,,,32801,104,,,,8876,45,TiO2,2965.27,117.533,1777,70,,,,153,10,,,,0,36,,,,313,12,,,,5067,34,,,,0,45,,,,17,3,,,,30,2,,,,32,2,,,,0,10,,,,0,5,,,,106,1,,,,420,2,,,,24,1,,,,60,1,,,,22,1,,,,11,1,,,,0,258,,,,0,311,,,,0,512,,,,0,681,,,,11,3,,,,0,45,,,,14,1,,,,0,112,,,,21,3,,,,4,1,,,,610013,1054,test: rhyolite,NHW,0,rhyolite,test: rhyolite,60,60,Other,test-rhyolite
801021,28,2018-11-14,22:43:51,Geochem(2),,28,No,,,PPM,,,,0,1983,,,,103816,545,,,,397232,648,,,,447,34,,,,999,24,,,,32179,73,,,,18208,49,TiO2,4669.38,107.551,2799,64,,,,152,8,,,,53,10,,,,454,12,,,,19048,57,,,,0,71,,,,19,2,,,,58,2,,,,63,2,,,,3,1,,,,0,4,,,,128,1,,,,441,2,,,,6,1,,,,181,1,,,,10,1,,,,0,35,,,,0,196,,,,0,234,,,,0,380,,,,0,504,,,,0,48,,,,4,1,,,,16,1,,,,15,2,,,,0,116,,,,0,60,,,,423668,823,formal tool,NHW,16-0968-004,153,formal tool,60,60,EeQw-179,EeQw-179-153
801021,27,2018-11-14,22:41:18,Geochem(2),,27,No,,,PPM,,,,0,3187,,,,85756,623,,,,314416,712,,,,661,40,,,,1056,29,,,,31127,86,,,,15822,52,TiO2,4699.42,119.962,2817,72,,,,122,8,,,,36,11,,,,449,13,,,,18117,64,,,,0,77,,,,21,3,,,,59,3,,,,59,2,,,,0,9,,,,0,5,,,,124,1,,,,421,2,,,,7,1,,,,184,1,,,,16,1,,,,0,40,,,,0,224,,,,0,269,,,,0,441,,,,0,588,,,,9,3,,,,0,40,,,,18,1,,,,0,99,,,,9,3,,,,6,1,,,,528689,974,formal tool,NHW,16-0968-004,159,formal tool,60,60,EeQw-179,EeQw-179-159
801021,26,2018-11-14,22:38:35,Geochem(2),,26,No,,,PPM,,,,0,3052,,,,84197,611,,,,315815,712,,,,217,38,,,,824,28,,,,25142,74,,,,21710,62,TiO2,7191.58,136.954,4311,82,,,,140,9,,,,40,11,,,,422,13,,,,23757,77,,,,0,88,,,,29,3,,,,60,3,,,,69,2,,,,0,9,,,,0,5,,,,88,1,,,,511,2,,,,10,1,,,,183,1,,,,18,1,,,,4,1,,,,0,220,,,,0,265,,,,0,436,,,,0,582,,,,0,54,,,,0,39,,,,16,1,,,,0,97,,,,0,132,,,,5,1,,,,522433,980,formal tool,NHW,16-0968-004,289,formal tool,60,60,EeQw-179,EeQw-179-289
801021,49,2018-11-14,23:54:41,Geochem(2),,49,No,,,PPM,,,,0,2435,,,,102187,627,,,,297765,647,,,,3236,46,,,,1727,28,,,,47213,110,,,,13304,47,TiO2,12945,162.063,7759,97,,,,223,10,,,,123,13,,,,1193,18,,,,41489,108,,,,0,111,,,,51,3,,,,52,3,,,,108,2,,,,5,1,,,,0,4,,,,433,2,,,,586,2,,,,17,1,,,,287,2,,,,54,1,,,,0,36,,,,0,193,,,,0,231,,,,0,375,,,,0,498,,,,14,3,,,,0,38,,,,34,1,,,,10,3,,,,0,123,,,,0,70,,,,482126,976,core,NHW,16-0968-004,361,core,60,60,EeQw-179,EeQw-179-361
